,service,flag,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,label
72,61,9,181,0,3,0.0,0.67,0.67,93,0.36,0.01,0.0,4
73,11,9,42,42,9,0.0,1.0,0.0,83,0.99,0.02,0.0,4
74,46,5,0,0,138,1.0,0.04,0.06,6,0.02,0.07,1.0,0
75,19,9,12,0,1,0.0,1.0,0.0,47,0.55,0.07,0.0,4
76,3,5,0,0,276,1.0,0.03,0.06,9,0.04,0.06,1.0,0
77,22,9,210,2790,10,0.0,1.0,0.0,255,1.0,0.0,0.0,4
78,22,9,321,5683,10,0.0,1.0,0.0,255,1.0,0.0,0.0,4
79,46,1,0,0,248,0.0,0.03,0.06,8,0.03,0.07,0.0,0
80,22,9,329,3982,2,0.0,1.0,0.0,255,1.0,0.0,0.0,4
81,63,1,0,0,135,0.0,0.05,0.07,7,0.03,0.07,0.0,0
82,10,5,0,0,220,1.0,0.09,0.05,2,0.01,0.07,1.0,0
83,13,9,8,0,1,0.0,1.0,0.0,95,1.0,0.0,0.0,1
84,22,9,320,379,9,0.0,1.0,0.0,255,1.0,0.0,0.0,4
85,46,5,0,0,212,1.0,0.03,0.05,7,0.1,0.11,0.97,0
86,22,9,225,3762,10,0.0,1.0,0.0,255,1.0,0.0,0.0,4
87,18,5,0,0,250,1.0,0.05,0.06,1,0.0,0.07,1.0,0
88,46,1,0,0,132,0.0,0.11,0.05,15,0.06,0.06,0.0,0
89,41,9,146,105,3,0.0,0.67,0.67,2,0.02,0.54,0.0,4
90,22,9,247,1416,11,0.0,1.0,0.0,255,1.0,0.0,0.0,4
91,22,9,353,1483,3,0.0,1.0,0.0,255,1.0,0.0,0.0,4
92,11,9,44,44,109,0.0,0.99,0.02,254,1.0,0.01,0.0,4
93,46,1,0,0,146,0.0,0.12,0.05,10,0.04,0.08,0.0,0
94,6,5,0,0,300,1.0,0.02,0.06,3,0.01,0.07,1.0,0
95,51,9,3065,331,1,0.0,1.0,0.0,119,0.48,0.02,0.01,4
96,41,9,102,102,1,0.0,1.0,0.0,1,0.14,0.29,0.0,4
97,22,9,259,750,4,0.0,1.0,0.0,255,1.0,0.0,0.0,4
98,41,9,147,105,2,0.0,1.0,0.0,2,0.01,0.42,0.0,4
99,46,5,0,0,129,1.0,0.12,0.05,12,0.05,0.05,1.0,0
100,22,9,0,354,32,0.03,1.0,0.0,255,1.0,0.0,0.0,4
101,22,9,309,306,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
102,22,1,0,0,1,0.0,1.0,0.0,247,1.0,0.0,0.0,4
103,22,9,278,7227,3,0.0,1.0,0.0,255,1.0,0.0,0.0,4
104,46,9,28,0,82,0.0,1.0,0.0,182,0.71,0.29,0.09,0
105,22,9,313,761,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
106,22,9,219,1212,15,0.0,1.0,0.0,255,1.0,0.0,0.0,4
107,22,9,245,9165,2,0.0,1.0,0.0,255,1.0,0.0,0.0,4
108,22,9,328,2243,21,0.0,1.0,0.0,255,1.0,0.0,0.0,4
109,22,1,0,0,1,0.0,1.0,0.0,249,1.0,0.0,0.0,4
110,22,9,251,301,3,0.0,1.0,0.0,252,0.99,0.01,0.0,4
111,51,9,2089,335,2,0.0,0.5,1.0,152,0.6,0.03,0.01,4
112,22,1,0,0,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
113,22,9,237,511,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
114,22,9,324,431,4,0.0,1.0,0.0,255,1.0,0.0,0.0,4
115,46,4,1,0,2,0.0,1.0,0.0,2,0.01,0.69,0.0,1
116,2,1,0,0,110,0.0,0.15,0.05,17,0.07,0.07,0.0,0
117,46,9,105,145,4,0.0,0.25,0.5,239,0.94,0.01,0.0,4
118,22,9,218,974,6,0.0,1.0,0.0,255,1.0,0.0,0.0,4
119,22,9,325,2649,7,0.0,1.0,0.0,255,1.0,0.0,0.0,4
120,63,1,0,0,246,0.0,0.08,0.07,20,0.08,0.07,0.0,0
121,4,1,0,0,272,0.0,0.07,0.07,19,0.07,0.08,0.0,0
122,6,5,0,0,259,1.0,0.03,0.07,8,0.03,0.08,1.0,0
123,22,9,328,275,9,0.0,1.0,0.0,250,0.98,0.01,0.0,4
124,4,5,0,0,294,1.0,0.02,0.05,8,0.03,0.07,1.0,0
125,17,9,9,138,1,0.0,1.0,0.0,10,0.03,0.03,0.01,4
126,11,9,46,46,96,0.0,1.0,0.0,254,1.0,0.01,0.0,4
127,51,9,1079,334,1,0.0,1.0,0.0,167,0.57,0.03,0.0,4
128,11,9,45,139,79,0.0,1.0,0.0,254,1.0,0.01,0.0,4
129,18,9,273,903,1,0.0,1.0,0.0,49,0.28,0.02,0.01,4
130,46,5,0,0,190,1.0,0.11,0.06,20,0.08,0.08,1.0,0
131,29,1,0,0,135,0.0,0.04,0.06,1,0.0,0.07,0.0,0
132,22,9,237,138,2,0.0,1.0,0.0,2,1.0,0.0,0.0,4
133,22,9,225,1357,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
134,46,5,0,0,123,1.0,0.06,0.06,7,0.03,0.08,1.0,0
135,55,5,0,0,245,1.0,0.08,0.06,7,0.03,0.07,1.0,0
136,41,9,147,0,3,0.0,0.33,0.67,1,0.0,0.61,0.0,4
137,22,9,262,1011,3,0.0,1.0,0.0,255,1.0,0.0,0.0,4
138,14,9,1032,0,263,0.0,1.0,0.0,255,1.0,0.0,0.0,0
139,46,5,0,0,109,1.0,0.12,0.06,7,0.03,0.06,1.0,0
140,22,9,261,8412,9,0.0,1.0,0.0,255,1.0,0.0,0.0,4
141,4,1,0,0,145,0.0,0.06,0.08,8,0.03,0.09,0.0,0
142,34,1,0,0,250,0.0,0.01,0.07,2,0.01,0.07,0.0,0
143,22,9,294,1719,8,0.0,1.0,0.0,255,1.0,0.0,0.0,4
144,22,9,221,981,2,0.0,1.0,0.0,82,1.0,0.0,0.0,4
145,22,9,284,10352,2,0.0,1.0,0.0,255,1.0,0.0,0.0,4
146,20,10,0,0,1,1.0,1.0,0.0,1,0.0,1.0,1.0,1
147,22,9,309,16096,3,0.0,1.0,0.0,129,1.0,0.0,0.0,4
148,19,9,334,0,2,0.0,1.0,0.0,26,1.0,0.0,0.0,2
149,57,5,0,0,13,1.0,0.31,0.31,64,0.25,0.02,1.0,0
150,46,5,0,0,87,1.0,0.01,0.07,1,0.0,0.06,1.0,0
151,22,9,214,283,2,0.0,1.0,0.0,255,1.0,0.0,0.0,4
152,64,5,0,0,292,1.0,0.04,0.05,14,0.05,0.08,1.0,0
153,56,5,0,0,295,1.0,0.06,0.05,1,0.0,0.08,1.0,0
154,23,5,0,0,143,1.0,0.1,0.06,15,0.06,0.05,1.0,0
155,11,9,46,78,278,0.0,1.0,0.01,254,1.0,0.01,0.0,4
156,19,9,748,0,1,0.0,1.0,0.0,92,0.83,0.33,0.0,4
157,15,5,0,0,102,1.0,0.19,0.06,18,0.07,0.06,1.0,0
158,13,9,8,0,1,0.0,1.0,0.0,15,1.0,0.0,0.0,1
159,65,5,0,0,251,1.0,0.01,0.07,3,0.01,0.08,1.0,0
160,22,9,329,8437,4,0.0,1.0,0.0,255,1.0,0.0,0.0,4
161,19,9,9,0,2,0.0,1.0,0.0,119,0.5,0.38,0.0,4
162,11,9,46,128,222,0.0,1.0,0.0,253,0.99,0.01,0.0,4
163,19,9,1766,0,2,0.0,1.0,0.0,6,0.02,0.02,0.0,4
164,48,5,0,0,260,1.0,0.02,0.06,4,0.02,0.07,1.0,0
165,41,4,1,0,2,0.0,1.0,0.0,2,0.01,0.74,0.0,1
166,17,9,8,135,1,0.0,1.0,0.0,6,0.03,0.03,0.0,4
167,22,9,266,529,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
168,19,9,245,0,3,0.0,0.67,0.67,68,0.32,0.06,0.0,4
169,22,9,295,465,11,0.0,1.0,0.0,255,1.0,0.0,0.0,4
170,20,5,0,0,44,1.0,0.27,0.11,12,0.05,0.08,1.0,0
171,22,9,228,6834,2,0.0,1.0,0.0,19,1.0,0.0,0.0,4
172,14,9,1032,0,511,0.0,1.0,0.0,212,0.83,0.02,0.0,0
173,25,1,0,0,272,0.0,0.06,0.06,15,0.06,0.07,0.0,0
174,46,5,0,0,122,0.99,0.16,0.07,19,0.07,0.05,1.0,0
175,65,5,0,0,287,1.0,0.01,0.05,3,0.01,0.05,1.0,0
176,22,1,0,0,1,0.0,1.0,0.0,195,1.0,0.0,0.0,4
177,41,1,0,0,486,0.08,0.0,0.95,1,0.0,0.91,0.11,1
178,41,9,1,0,22,0.0,0.27,0.09,6,0.02,0.06,0.0,1
179,26,5,0,0,286,1.0,0.03,0.06,11,0.04,0.07,1.0,0
180,14,9,30,0,1,0.0,1.0,0.0,247,1.0,0.0,0.0,4
181,51,9,2078,333,1,0.0,1.0,0.0,117,0.31,0.03,0.0,4
182,19,9,19,0,1,0.0,1.0,0.0,5,0.02,0.04,0.0,4
183,51,9,661,329,1,0.0,1.0,0.0,69,0.36,0.02,0.0,4
184,46,9,28,0,35,0.0,0.97,0.06,34,0.13,0.02,0.0,0
185,19,5,0,0,28,1.0,0.07,0.14,42,0.16,0.03,1.0,0
186,46,5,0,0,108,1.0,0.17,0.07,18,0.07,0.07,1.0,0
187,46,5,0,0,101,1.0,0.05,0.06,15,0.06,0.07,1.0,0
188,51,9,1075,364,1,0.0,1.0,0.0,100,0.39,0.17,0.0,4
189,22,9,223,656,12,0.0,1.0,0.0,255,1.0,0.0,0.0,4
190,18,9,350,1185,1,0.0,1.0,0.0,142,0.56,0.02,0.0,2
191,22,9,233,2470,10,0.0,1.0,0.0,255,1.0,0.0,0.0,4
192,46,5,0,0,223,1.0,0.04,0.07,9,0.04,0.05,1.0,0
193,12,5,0,0,223,1.0,0.08,0.06,17,0.07,0.06,1.0,0
194,22,9,201,1938,19,0.0,1.0,0.0,255,1.0,0.0,0.0,4
195,22,9,271,4781,4,0.0,1.0,0.0,28,1.0,0.0,0.0,4
196,19,9,14416,0,1,0.0,1.0,0.0,50,0.19,0.02,0.0,4
197,22,9,227,11564,5,0.0,1.0,0.0,52,1.0,0.0,0.0,4
198,46,1,0,0,406,0.0,0.0,0.52,1,0.0,0.52,0.0,1
199,22,9,225,2445,4,0.0,1.0,0.0,255,1.0,0.0,0.0,4
200,22,9,176,426,6,0.0,1.0,0.0,255,1.0,0.0,0.0,4
201,27,5,0,0,143,1.0,0.1,0.06,14,0.05,0.06,1.0,0
202,22,9,227,762,17,0.0,1.0,0.0,255,1.0,0.0,0.0,4
203,51,9,855,575,1,0.0,1.0,0.0,20,0.08,0.02,0.0,4
204,51,9,944,330,1,0.0,1.0,0.0,166,0.63,0.02,0.0,4
205,51,9,954,326,2,0.0,0.5,1.0,104,0.71,0.11,0.0,4
206,63,5,0,0,201,1.0,0.09,0.06,18,0.07,0.07,1.0,0
207,22,9,166,34660,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
208,22,9,306,2698,4,0.0,1.0,0.0,240,0.94,0.01,0.0,4
209,35,5,0,0,124,1.0,0.15,0.05,19,0.07,0.05,1.0,0
210,46,1,0,0,162,0.05,0.01,1.0,1,0.0,0.8,0.03,1
211,14,9,1480,0,2,0.0,1.0,0.0,38,1.0,0.0,0.0,0
212,26,5,0,0,277,1.0,0.06,0.05,17,0.07,0.07,1.0,0
213,22,9,313,8549,4,0.0,1.0,0.0,255,1.0,0.0,0.0,4
214,30,5,0,0,274,1.0,0.08,0.05,22,0.09,0.05,1.0,0
215,54,5,0,0,141,1.0,0.09,0.06,16,0.06,0.06,1.0,0
216,22,9,285,6008,3,0.0,1.0,0.0,255,1.0,0.0,0.0,4
217,22,9,226,1411,8,0.0,1.0,0.0,255,1.0,0.0,0.0,4
218,22,9,256,12984,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
219,51,9,3740,449,1,0.0,1.0,0.0,185,0.68,0.02,0.0,4
220,22,9,224,449,10,0.1,1.0,0.0,255,1.0,0.0,0.03,4
221,31,5,0,0,103,1.0,0.03,0.07,3,0.01,0.07,1.0,0
222,19,9,832,0,1,0.0,1.0,0.0,28,1.0,0.0,0.0,2
223,17,5,0,0,246,1.0,0.08,0.06,20,0.08,0.07,1.0,0
224,13,9,8,0,1,0.0,1.0,0.0,25,1.0,0.0,0.0,1
225,22,9,201,169,7,0.0,1.0,0.0,255,1.0,0.0,0.03,4
226,22,9,285,304,32,0.0,1.0,0.0,255,1.0,0.0,0.0,4
227,28,5,0,0,125,1.0,0.19,0.05,24,0.09,0.05,1.0,0
228,19,9,7422,0,8,0.0,1.0,0.0,44,0.17,0.02,0.0,4
229,22,9,198,12884,2,0.0,1.0,0.0,2,1.0,0.0,0.0,4
230,51,9,2310,328,1,0.0,1.0,0.0,157,0.62,0.02,0.0,4
231,22,9,331,955,6,0.0,1.0,0.0,255,1.0,0.0,0.0,4
232,61,9,65,0,9,0.0,0.22,0.22,16,0.06,0.01,0.0,4
233,46,9,28,0,4,0.0,1.0,0.0,71,0.28,0.01,0.0,0
234,11,9,45,77,171,0.0,1.0,0.0,232,0.91,0.01,0.0,4
235,18,2,0,0,250,0.0,0.01,0.06,3,0.01,0.07,0.0,0
236,3,5,0,0,238,1.0,0.03,0.07,7,0.03,0.07,1.0,0
237,28,5,0,0,102,1.0,0.02,0.07,2,0.01,0.06,1.0,0
238,17,9,9,142,1,0.0,1.0,0.0,12,0.05,0.03,0.0,4
239,22,9,283,912,2,0.0,1.0,0.0,255,1.0,0.0,0.0,4
240,22,9,221,1789,2,0.5,1.0,0.0,255,1.0,0.0,0.01,4
241,13,9,18,0,1,0.0,1.0,0.0,123,1.0,0.0,0.0,1
242,64,5,0,0,281,1.0,0.01,0.06,3,0.01,0.07,1.0,0
243,57,5,0,0,30,1.0,0.07,0.13,52,0.2,0.03,1.0,0
244,19,5,0,0,276,1.0,0.03,0.06,8,0.03,0.06,1.0,0
245,22,9,302,1380,5,0.0,1.0,0.0,187,0.88,0.02,0.0,4
246,46,5,0,0,163,1.0,0.06,0.09,9,0.04,0.1,1.0,0
247,13,9,8,0,1,0.0,1.0,0.0,60,1.0,0.0,0.0,1
248,46,5,0,0,301,1.0,0.07,0.06,19,0.07,0.05,1.0,0
249,22,9,355,870,28,0.0,1.0,0.0,255,1.0,0.0,0.0,4
250,13,9,8,0,1,0.0,1.0,0.0,63,1.0,0.0,0.0,1
251,57,9,106,1468,1,0.0,1.0,0.0,1,0.01,0.04,0.0,4
252,22,9,286,1423,16,0.0,1.0,0.0,255,1.0,0.0,0.0,4
253,41,4,1,0,2,0.0,1.0,0.0,2,0.01,0.74,0.0,1
254,52,10,0,0,1,1.0,1.0,0.0,1,0.0,1.0,1.0,1
255,14,9,1032,0,46,0.0,1.0,0.0,46,0.18,0.02,0.0,0
256,22,9,168,9551,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
257,22,9,238,864,39,0.0,1.0,0.0,255,1.0,0.0,0.0,4
258,46,4,0,0,1,0.0,1.0,0.0,1,0.0,0.38,0.0,1
259,22,9,291,10369,6,0.0,1.0,0.0,255,1.0,0.0,0.0,4
260,64,5,0,0,211,1.0,0.1,0.05,22,0.09,0.05,1.0,0
261,51,9,749,330,1,0.0,1.0,0.0,129,0.74,0.11,0.0,4
262,22,9,198,6924,12,0.0,1.0,0.0,255,1.0,0.0,0.0,4
263,32,1,0,0,280,0.0,0.04,0.06,11,0.04,0.07,0.0,0
264,22,9,167,709,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
265,22,9,241,851,17,0.0,1.0,0.0,255,1.0,0.0,0.0,4
266,22,9,337,3360,6,0.0,1.0,0.0,255,1.0,0.0,0.0,4
267,51,9,729,328,1,0.0,1.0,0.0,156,0.41,0.04,0.0,4
268,13,9,8,0,1,0.0,1.0,0.0,111,1.0,0.0,0.0,1
269,6,5,0,0,201,1.0,0.0,0.06,4,0.02,0.07,1.0,0
270,22,9,222,1483,3,0.0,1.0,0.0,255,1.0,0.0,0.0,4
271,3,1,0,0,276,0.0,0.05,0.06,14,0.05,0.07,0.0,0
272,22,1,0,0,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
273,11,9,46,134,145,0.0,1.0,0.0,255,1.0,0.0,0.0,4
274,22,9,246,2719,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
275,22,9,222,771,8,0.0,1.0,0.0,255,1.0,0.0,0.0,4
276,64,5,0,0,258,1.0,0.04,0.05,10,0.04,0.05,1.0,0
277,46,5,0,0,256,1.0,0.05,0.06,10,0.04,0.07,1.0,0
278,57,9,279,9598,1,0.0,1.0,0.0,113,0.45,0.01,0.8,4
279,22,9,226,651,12,0.0,1.0,0.0,255,1.0,0.0,0.0,4
280,22,9,299,447,26,0.0,1.0,0.0,255,1.0,0.0,0.0,4
281,22,5,0,0,14,1.0,0.43,0.29,26,0.28,0.04,1.0,0
282,19,9,12,0,2,0.0,1.0,0.0,88,0.36,0.27,0.0,4
283,22,9,281,1951,30,0.0,1.0,0.0,255,1.0,0.0,0.0,4
284,4,5,0,0,138,1.0,0.18,0.05,25,0.1,0.05,1.0,0
285,11,9,42,42,4,0.0,1.0,0.0,245,0.96,0.01,0.0,4
286,18,5,0,0,300,1.0,0.02,0.06,7,0.03,0.07,1.0,0
287,59,5,0,0,199,1.0,0.05,0.07,9,0.04,0.07,1.0,0
288,22,9,263,453,15,0.0,1.0,0.0,255,1.0,0.0,0.0,4
289,46,4,1,0,2,0.0,1.0,0.0,2,0.01,0.5,0.0,1
290,18,2,0,0,1,0.0,1.0,0.0,43,0.2,0.02,0.0,4
291,46,5,0,0,144,1.0,0.1,0.06,30,0.12,0.06,1.0,0
292,52,5,0,0,104,1.0,0.04,0.07,18,0.07,0.07,1.0,0
293,22,9,283,1980,18,0.0,1.0,0.0,255,1.0,0.0,0.0,4
294,22,9,161,5530,2,0.0,1.0,0.0,255,1.0,0.0,0.0,4
295,22,9,211,321,7,0.0,1.0,0.0,255,1.0,0.0,0.0,4
296,22,9,201,1701,7,0.0,1.0,0.0,255,1.0,0.0,0.0,4
297,13,9,8,0,1,0.0,1.0,0.0,112,1.0,0.0,0.0,1
298,41,9,147,0,3,0.0,0.33,0.67,1,0.0,0.67,0.0,4
299,46,5,0,0,74,1.0,0.22,0.05,5,0.02,0.06,1.0,0
300,19,9,567,0,1,0.0,1.0,0.0,38,0.25,0.09,0.0,4
301,21,1,0,0,225,0.0,0.01,0.07,2,0.01,0.08,0.0,0
302,57,5,0,0,66,0.97,0.24,0.09,52,0.2,0.04,1.0,0
303,19,9,5131424,0,1,0.0,1.0,0.0,42,1.0,0.0,0.0,2
304,22,9,320,420,7,0.0,1.0,0.0,255,1.0,0.0,0.0,4
305,13,9,8,0,1,0.0,1.0,0.0,61,1.0,0.0,0.0,1
306,51,5,0,0,2,0.5,1.0,0.0,101,0.4,0.05,0.01,4
307,22,9,204,1229,4,0.0,1.0,0.0,255,1.0,0.0,0.0,4
308,59,4,0,0,1,0.0,1.0,0.0,1,0.0,0.16,0.0,1
309,19,9,10389,0,1,0.0,1.0,0.0,81,0.32,0.02,0.0,4
310,62,5,0,0,139,1.0,0.09,0.06,13,0.05,0.07,1.0,0
311,22,9,344,573,28,0.04,1.0,0.0,255,1.0,0.0,0.0,4
312,16,2,0,0,144,0.0,0.11,0.06,9,0.04,0.06,0.0,0
313,34,5,0,0,241,1.0,0.08,0.05,19,0.07,0.07,1.0,0
314,22,9,243,821,15,0.0,1.0,0.0,255,1.0,0.0,0.0,4
315,14,9,1032,0,213,0.0,1.0,0.0,255,1.0,0.0,0.0,0
316,13,9,8,0,1,0.0,1.0,0.0,11,1.0,0.0,0.0,1
317,46,1,0,0,36,0.17,0.03,1.0,1,0.0,0.47,0.02,1
318,46,9,105,146,3,0.0,0.67,0.67,239,0.94,0.01,0.0,4
319,46,5,0,0,254,1.0,0.07,0.05,17,0.07,0.06,1.0,0
320,51,9,1080,327,1,0.0,1.0,0.0,154,0.58,0.02,0.0,4
321,57,5,0,0,295,1.0,0.02,0.05,7,0.03,0.05,1.0,0
322,46,5,0,0,171,1.0,0.02,0.07,14,0.05,0.07,1.0,0
323,2,5,0,0,179,1.0,0.01,0.06,5,0.02,0.07,1.0,0
324,51,9,657,326,2,0.0,0.5,1.0,11,0.04,0.6,0.0,4
325,23,5,0,0,101,1.0,0.07,0.06,3,0.01,0.07,1.0,0
326,22,9,284,765,9,0.0,1.0,0.0,255,1.0,0.0,0.0,4
327,22,9,261,15455,22,0.0,1.0,0.0,255,1.0,0.0,0.0,4
328,22,9,317,315,1,0.0,1.0,0.0,255,1.0,0.0,0.0,4
329,11,9,33,0,8,0.0,1.0,0.0,36,0.14,0.03,0.0,4
330,46,1,0,0,2,0.0,0.5,1.0,1,0.0,0.6,0.01,1
331,46,4,0,0,1,0.0,1.0,0.0,1,0.0,0.64,0.0,1
332,11,9,44,70,195,0.0,1.0,0.0,234,0.92,0.01,0.0,4
333,22,9,215,584,4,0.0,1.0,0.0,255,1.0,0.0,0.0,4
334,46,5,0,0,260,1.0,0.03,0.07,7,0.03,0.07,1.0,0
335,22,9,332,2844,14,0.0,1.0,0.0,255,1.0,0.0,0.0,4
336,51,9,978,334,1,0.0,1.0,0.0,164,0.75,0.03,0.0,4
337,22,9,296,5670,10,0.0,1.0,0.0,255,1.0,0.0,0.0,4
338,57,5,0,0,125,1.0,0.1,0.06,8,0.03,0.07,1.0,0
339,46,1,0,0,139,0.0,0.07,0.06,6,0.02,0.09,0.0,0
340,22,9,214,9986,10,0.0,1.0,0.0,255,1.0,0.0,0.0,4
341,46,5,0,0,251,1.0,0.03,0.07,2,0.01,0.07,1.0,0
342,40,9,48,48,1,0.0,1.0,0.0,23,0.55,0.05,0.0,4
