L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label
58026,80,6,7,477,2286,5,6,27,1750,1
64403,53,17,5,63,393,1,1,0,749,0
34610,80,6,7,459,696,5,4,27,185,1
9505,53,17,5,75,135,1,1,0,308,0
60256,15600,17,0,63,0,1,0,0,0,0
36743,15600,17,0,63,0,1,0,0,0,0
49248,80,6,7,520,3812,5,7,27,59,1
49474,80,6,7,604,3812,6,7,27,100,1
57372,80,6,7,479,2052,5,5,27,258,1
50063,49152,6,7,403,1203,5,5,27,206,0
1785,53,17,5,78,348,1,1,0,12,0
47331,53,17,5,108,108,2,2,0,2,1
58750,80,6,7,532,696,5,4,27,970,1
80,58032,6,7,104,104,2,2,17,10038,0
57358,53,17,5,57,144,1,1,0,1,0
52104,443,6,91.212,2580,4569,9,9,27,1435,0
58538,80,6,7,499,696,5,4,27,223,1
47174,80,6,7,577,2239,5,6,27,3,1
47580,15600,17,0,63,0,1,0,0,0,0
47618,80,6,7,846,2239,6,6,27,15,1
47632,80,6,7,579,2239,5,6,27,36,1
63171,53,17,5,69,790,1,1,0,24,0
58314,80,6,7,480,696,5,4,27,242,1
47610,80,6,7,823,2239,5,6,27,18,1
47916,80,6,7,756,2816,6,6,27,1767,1
18277,53,17,5,56,1125,1,1,0,11,0
57448,80,6,7,458,2163,5,5,27,202,1
58026,80,6,7,503,696,5,4,27,219,1
35948,80,6,7,474,2816,5,6,27,1654,1
41762,80,6,7,557,12815,6,12,27,1300,1
57626,80,6,7,474,696,5,4,27,129,1
37836,15600,17,0,63,0,1,0,0,0,0
49200,80,6,7,495,3812,5,7,27,102,1
51021,7678,6,7,387,1945,5,6,27,11,0
57900,80,6,7,458,2163,5,5,27,268,1
50073,15600,17,0,63,0,1,0,0,0,0
57878,80,6,7,497,696,5,4,27,125,1
50482,54022,17,12,440,0,1,0,0,0,0
50131,9197,6,7,344,2022,5,6,27,14,0
47060,80,6,7,542,2239,5,6,27,4,1
56862,80,6,7,458,2163,5,5,27,204,1
47768,80,6,7,570,2239,5,6,27,19,1
18998,53,17,5,98,177,1,1,0,11,0
57770,80,6,7,493,696,5,4,27,177,1
56404,80,6,7,458,2163,5,5,27,196,1
41690,80,6,7,570,12815,6,12,27,1652,1
47706,80,6,7,602,2239,6,6,27,5,1
38113,53,17,5,71,1199,1,1,0,10,0
49620,80,6,7,603,2398,5,6,27,974,1
57844,80,6,7,458,2163,5,5,27,190,1
57636,80,6,7,458,2163,5,5,27,222,1
50952,53,17,5.126,72,88,1,1,0,96,0
49844,80,6,7,555,2525,5,6,27,356,1
49792,80,6,7,424,112,3,2,26,381,1
60418,15600,17,0,63,0,1,0,0,0,0
48274,80,6,7,585,2816,6,6,27,969,1
49878,80,6,7,804,2239,6,6,27,116,1
58482,80,6,7,498,2163,6,5,27,223,1
34746,80,6,7,525,696,5,4,27,139,1
42250,80,6,7,665,12815,6,12,27,1466,1
53507,53,17,5,130,146,2,2,0,86,1
34330,80,6,7,572,696,5,4,27,179,1
34328,15600,17,0,63,0,1,0,0,0,0
34882,80,6,7,517,696,5,4,27,132,1
48902,53,17,5,108,108,2,2,0,2,1
56788,80,6,7,458,2163,5,5,27,227,1
48863,53,17,5,100,100,2,2,0,3,1
56670,80,6,7,522,696,5,4,27,148,1
56674,80,6,7,520,696,5,4,27,111,1
15242,53,17,5.178,78,310,1,1,0,58,0
80,36066,6,7,104,104,2,2,17,9591,0
34242,80,6,7,784,527,5,4,27,1414,1
57044,53,17,5,100,100,2,2,0,2,1
36084,15600,17,0,63,0,1,0,0,0,0
39223,53,17,5,66,839,1,1,0,23,0
52366,443,6,91.178,1360,6636,11,12,27,1541,1
47760,80,6,7,594,2239,6,6,27,13,1
57944,80,6,7,458,2163,5,5,27,317,1
34541,53,17,5,130,285,2,2,0,28,1
57932,80,6,7,458,2163,5,5,27,262,1
49232,80,6,7,504,3812,5,7,27,71,1
56634,80,6,7,451,696,5,4,27,156,1
56850,80,6,7,458,2163,5,5,27,164,1
46489,53,17,5,140,480,2,2,0,13,1
41788,80,6,7,613,12867,7,13,27,1269,1
51587,59443,17,12,344,0,1,0,0,0,0
50327,7678,6,7,406,1945,5,6,27,17,0
47676,80,6,7,541,2239,5,6,27,27,1
35172,80,6,7.178,707,12815,5,12,27,1593,1
33646,53,17,5,68,787,1,1,0,25,0
50050,80,6,7,905,2239,5,6,27,185,1
50385,9197,6,7,344,855,5,5,27,16,0
34364,80,6,7,458,2163,5,5,27,137,1
56440,80,6,7,458,2163,5,5,27,297,1
57980,80,6,7,458,2163,5,5,27,296,1
50115,7678,6,7,387,1945,5,6,27,14,0
46968,80,6,7,612,2239,5,6,27,14,1
58270,80,6,7,458,2163,5,5,27,235,1
50181,9197,6,7,488,6921,5,9,27,12,0
57712,80,6,7,458,2163,5,5,27,202,1
51343,53,17,5,140,480,2,2,0,246,1
57688,80,6,7,528,696,5,4,27,150,1
56438,80,6,7,480,696,5,4,27,230,1
58298,80,6,7,458,2163,5,5,27,244,1
41672,80,6,7.178,544,12815,6,12,27,1413,1
42508,80,6,7,579,12815,6,12,27,1412,1
60696,53,17,5.126,60,76,1,1,0,10,0
56774,53,17,5,130,146,2,2,0,2,1
41514,80,6,7,564,12815,7,12,27,997,1
57007,53,17,5,65,263,1,1,0,16,0
49072,80,6,7,520,3760,5,6,27,56,1
50590,15600,17,0,63,0,1,0,0,0,0
57818,80,6,7,458,2163,5,5,27,233,1
2759,53,17,5.212,99,117,1,1,0,11,0
49380,80,6,7,486,3760,5,6,27,139,1
49226,80,6,7,553,3812,5,7,27,124,1
41836,80,6,7,865,12815,6,12,27,1567,1
49516,80,6,7,569,3812,6,7,27,52,1
46946,80,6,7,563,2239,6,6,27,3,1
62221,52654,17,12,629,0,2,0,0,552,0
47914,80,6,7,494,2286,5,6,27,3078,1
51573,61850,17,12,400,0,1,0,0,0,0
38690,80,6,7.178,557,12815,6,12,27,1668,1
80,36112,6,7,104,104,2,2,17,8892,0
50259,41952,6,7,795,4374,10,12,27,262,0
41696,80,6,7.178,613,12815,6,12,27,1419,1
123,123,17,9.169,76,76,1,1,0,315,0
34798,80,6,7,538,696,5,4,27,167,1
57776,80,6,7,458,2163,5,5,27,218,1
47150,80,6,7,687,2239,7,6,27,19,1
50287,9197,6,7,344,855,5,5,27,1025,0
47706,80,6,7,602,2239,6,6,27,5,1
36062,80,6,7.178,544,12815,6,12,27,1306,1
56568,80,6,7,458,2163,5,5,27,366,1
47592,80,6,7,830,2239,5,6,27,16,1
12709,53,17,5,73,281,1,1,0,22,0
34633,1900,17,153.12,459,0,3,0,0,616,0
58742,80,6,7,518,696,5,4,27,142,1
49996,7678,6,7,387,1945,5,6,27,12,0
51729,9197,6,7,488,6921,5,9,27,23,0
45511,53,17,5,71,137,1,1,0,352,0
50918,7678,6,7,387,1985,5,7,27,40,0
34266,80,6,7,476,696,5,4,27,120,1
42336,80,6,7,707,12867,8,13,27,1453,1
47000,80,6,7,596,2239,6,6,27,14,1
34350,80,6,7,677,696,5,4,27,120,1
56574,80,6,7,459,696,5,4,27,259,1
41906,80,6,7,906,12815,6,12,27,1625,1
48838,80,6,7,417,112,3,2,26,654,1
47910,80,6,7,104,52,2,1,17,328,1
34326,80,6,7,480,696,5,4,27,154,1
34866,80,6,7,489,696,5,4,27,163,1
54281,53,17,5,70,234,1,1,0,3,1
47784,80,6,7,474,2816,5,6,27,1641,1
52627,1900,17,153.12,459,0,3,0,0,618,0
52175,443,6,91.212,2739,8012,11,10,27,84,0
47098,80,6,7,576,2239,5,6,27,14,1
58030,80,6,7,510,696,5,4,27,227,1
36422,15600,17,0,63,0,1,0,0,0,0
49532,80,6,7,216,112,4,2,19,158,1
57788,80,6,7,521,696,5,4,27,166,1
48863,53,17,5,100,100,2,2,0,3,1
34810,80,6,7,472,696,5,4,27,117,1
41422,80,6,7.178,558,12815,6,12,27,2025,1
48884,80,6,7,471,3760,5,6,27,525,1
56860,80,6,7,490,696,5,4,27,158,1
25580,53,17,5,71,1202,1,1,0,13,0
40470,15600,17,0,63,0,1,0,0,0,0
38684,80,6,7.178,614,12815,6,12,27,1657,1
52115,9197,6,7,488,6921,5,9,27,14,0
58254,80,6,7,458,2163,5,5,27,195,1
5353,5353,17,8,420,0,3,0,0,3995,0
56392,80,6,7,458,2163,5,5,27,197,1
56516,80,6,7,458,2163,5,5,27,180,1
33923,53,17,5,100,100,2,2,0,2,1
54797,53,17,5.126,70,524,1,1,0,26,0
60510,15600,17,0,63,0,1,0,0,0,0
57474,80,6,7,677,696,5,4,27,157,1
1742,53,17,5.178,74,306,1,1,0,57,0
47848,80,6,7,642,2239,6,6,27,3,1
35628,80,6,7.178,626,12867,7,13,27,1610,1
56716,80,6,7,458,2163,5,5,27,230,1
57178,53,17,5.126,65,329,1,1,0,113,0
50348,9197,6,7,459,16158,6,14,27,15,0
48844,80,6,7,521,2286,5,6,27,954,1
41157,80,6,7,3033,13722,19,17,31,5079,0
50012,80,6,7,849,2179,4,5,27,134,1
56782,80,6,7,535,696,5,4,27,147,1
57672,80,6,7,481,696,5,4,27,158,1
50002,80,6,7,729,2239,5,6,27,151,1
49794,80,6,7,540,2239,5,6,27,57,1
45254,80,6,7,112,60,2,1,18,325,1
47980,80,6,7,104,52,2,1,17,324,1
51961,53,17,5,78,343,1,1,0,0,0
35103,15600,17,0,63,0,1,0,0,0,0
50570,9197,6,7,1024,30362,8,26,27,38,0
53501,53,17,5,136,386,2,2,0,1631,1
51716,9197,6,7,344,855,5,5,27,7,0
41690,80,6,7.178,599,12815,6,12,27,1403,1
50251,9197,6,7,344,855,5,5,27,11,0
58096,80,6,7,591,2497,6,6,27,1446,1
48992,80,6,7,486,3812,5,7,27,136,1
46904,80,6,7,863,2239,6,6,27,21,1
50013,9197,6,7,344,608,5,5,27,14,0
38528,80,6,7.178,792,12815,7,12,27,1689,1
48822,80,6,7,550,2286,5,6,27,5959,1
46868,80,6,7,532,2239,5,6,27,17,1
48867,80,6,7.22,180,92,4,2,19,6178,0
38692,80,6,7.178,564,12815,6,12,27,1701,1
49688,80,6,7,528,2239,5,6,27,567,1
48852,80,6,7,546,2286,6,6,27,1359,1
46036,15600,17,0,63,0,1,0,0,0,0
58564,80,6,7,475,696,5,4,27,157,1
58100,53,17,5,73,754,1,1,0,12,0
57604,80,6,7,458,2163,5,5,27,181,1
47331,53,17,5,108,108,2,2,0,2,1
47836,80,6,7,548,2239,5,6,27,10,1
49502,80,6,7,556,3812,5,7,27,43,1
38694,80,6,7.178,571,12815,6,12,27,1690,1
50929,9197,6,7,344,855,5,5,27,14,0
58052,80,6,7,180,132,4,3,19,158,1
56684,80,6,7,458,2163,5,5,27,185,1
46862,80,6,7,586,2239,6,6,27,23,1
50076,80,6,7,501,2408,5,6,27,981,1
49206,80,6,7,525,3812,5,7,27,123,1
65452,53,17,5,66,782,1,1,0,12,0
47124,80,6,7,580,2239,5,6,27,12,1
42708,80,6,7,589,12815,6,12,27,1293,1
56830,80,6,7,458,2163,5,5,27,256,1
45853,53,17,5,81,525,1,1,0,313,0
58814,1900,17,153.12,306,0,2,0,0,307,0
34256,80,6,7,479,2052,5,5,27,136,1
38547,53,17,5,130,146,2,2,0,28,1
60529,1900,17,153.12,459,0,3,0,0,715,0
58360,80,6,7,753,696,5,4,27,128,1
41578,80,6,7.178,638,12815,7,12,27,1521,1
57402,80,6,7,459,696,5,4,27,222,1
23004,53,17,5,56,1125,1,1,0,23,0
57968,80,6,7,458,2163,5,5,27,236,1
47848,80,6,7,642,2239,6,6,27,3,1
42671,15600,17,0,63,0,1,0,0,0,0
34348,80,6,7,458,2163,5,5,27,146,1
46884,80,6,7,758,2239,5,6,27,14,1
56448,80,6,7,458,2163,5,5,27,297,1
48952,80,6,7,793,3812,5,7,27,65,1
47558,80,6,7,554,2239,6,6,27,19,1
56552,80,6,7,458,2163,5,5,27,312,1
48834,80,6,7,104,52,2,1,17,322,1
50306,9197,6,7,627,22815,9,19,27,37,0
56369,53,17,5,62,250,1,1,0,77,0
57476,80,6,7,458,2163,5,5,27,201,1
44658,15600,17,0,63,0,1,0,0,0,0
42197,15600,17,0,63,0,1,0,0,0,0
56888,80,6,7,462,696,5,4,27,123,1
33989,53,17,5,136,168,2,2,0,2,1
58484,80,6,7,559,696,5,4,27,137,1
57183,15600,17,0,63,0,1,0,0,0,0
49330,80,6,7,480,3760,5,6,27,53,1
34894,80,6,7.178,512,12815,6,12,27,976,1
6033,53,17,5,82,481,1,1,0,14,0
33009,15600,17,0,63,0,1,0,0,0,0
64107,53,17,5,78,110,1,1,0,23,0
44257,53,17,5,108,108,2,2,0,2,1
34270,80,6,7,450,696,5,4,27,106,1
49608,80,6,7,547,2286,6,6,27,1008,1
49272,80,6,7,539,3812,5,7,27,62,1
58806,80,6,7,458,2163,5,5,27,305,1
35100,80,6,7.178,570,12815,6,12,27,1622,1
41724,80,6,7,586,12815,6,12,27,1322,1
50098,9197,6,7,419,16158,5,14,27,15,0
42230,80,6,7,320,12815,6,12,27,1503,1
48866,80,6,7,695,2413,6,6,27,1569,1
49466,80,6,7,524,3760,5,6,27,50,1
34718,80,6,7,476,696,5,4,27,121,1
62674,3702,17,153,8864,0,8,0,0,709,0
50384,9197,6,7,344,608,5,5,27,11,0
48900,80,6,7,509,3812,5,7,27,87,1
30761,53,17,5,71,139,1,1,0,12,0
58496,80,6,7,559,696,5,4,27,160,1
56464,80,6,7,458,2163,5,5,27,284,1
80,35652,6,7.178,12815,526,12,5,27,1272,0
49038,80,6,7,698,3760,5,6,27,122,1
49516,80,6,7,569,3812,6,7,27,52,1
45052,80,6,7,501,2478,5,6,27,1712,1
59443,1900,17,153.12,5668,0,36,0,0,15038,0
46964,80,6,7,609,2239,5,6,27,5,1
14487,53,17,5,71,792,1,1,0,12,0
58768,1900,17,153.12,459,0,3,0,0,616,0
50012,80,6,7,849,2179,4,5,27,134,1
58760,80,6,7,465,696,5,4,27,147,1
57390,80,6,7,450,696,5,4,27,179,1
80,36152,6,7,104,104,2,2,17,7536,0
47822,80,6,7,639,2239,6,6,27,13,1
37360,53,17,5,130,146,2,2,0,2,1
55069,15600,17,0,63,0,1,0,0,0,0
50232,9197,6,7,344,2062,5,7,27,27,0
37012,15600,17,0,63,0,1,0,0,0,0
48948,80,6,7,755,3812,5,7,27,126,1
23603,53,17,5,71,124,1,1,0,345,0
60641,53,17,5,108,108,2,2,0,4,1
47564,80,6,7,534,2239,5,6,27,3,1
57668,53,17,5,130,146,2,2,0,3,1
23703,53,17,5.169,71,247,1,1,0,259,0
55670,53,17,5,100,100,2,2,0,2,1
46846,80,6,7,528,2239,5,6,27,255,1
49969,15600,17,0,63,0,1,0,0,0,0
49478,80,6,7,480,3760,5,6,27,109,1
49832,80,6,7,511,2239,5,6,27,137,1
37383,15600,17,0,63,0,1,0,0,0,0
50326,7678,6,7,387,1945,5,6,27,30,0
47778,80,6,7,526,2816,6,6,27,1646,1
56464,80,6,7,458,2163,5,5,27,284,1
48046,53,17,5,140,480,2,2,0,13,1
0,0,2,82,128,0,4,0,0,37,0
48926,80,6,7,719,3812,5,7,27,87,1
57630,80,6,7,559,696,5,4,27,151,1
34296,80,6,7,458,2163,5,5,27,130,1
36299,53,17,5,130,146,2,2,0,2,1
34332,80,6,7,458,2163,5,5,27,223,1
43341,15600,17,0,63,0,1,0,0,0,0
34858,80,6,7,475,696,5,4,27,184,1
49506,80,6,7,538,3812,6,7,27,65,1
58422,80,6,7,458,2163,5,5,27,223,1
56950,80,6,7,180,132,4,3,19,430,1
47742,80,6,7,573,2239,5,6,27,13,1
49304,80,6,7,656,3812,6,7,27,49,1
58364,80,6,7,762,696,5,4,27,160,1
47728,80,6,7,531,2239,5,6,27,12,1
34660,80,6,7,458,2163,5,5,27,138,1
47644,80,6,7,517,2239,5,6,27,31,1
46970,1900,17,153.12,459,0,3,0,0,614,0
34716,80,6,7,458,2163,5,5,27,175,1
49832,80,6,7,511,2239,5,6,27,137,1
53922,53,17,5,56,1125,1,1,0,12,0
51380,41952,6,7,795,4374,10,12,27,755,0
28236,53,17,5,83,251,1,1,0,11,0
47008,80,6,7,550,2239,5,6,27,4,1
52808,15600,17,0,63,0,1,0,0,0,0
56710,15600,17,0,63,0,1,0,0,0,0
47514,80,6,7,482,2239,5,6,27,4,1
50520,9197,6,7,421,3770,6,7,27,18,0
45377,53,17,5,100,100,2,2,0,2,1
56482,80,6,7,777,696,5,4,27,174,1
38514,80,6,7.178,844,12815,6,12,27,1646,1
51209,53,17,5.212,75,491,1,1,0,205,0
47004,80,6,7,518,2239,5,6,27,16,1
35756,80,6,7,2592,2812,22,17,26,110538,1
58852,80,6,7,462,696,5,4,27,152,1
46874,80,6,7,511,2239,5,6,27,5,1
58588,80,6,7,555,696,5,4,27,115,1
56612,80,6,7,458,2163,5,5,27,170,1
50313,5357,6,7,1206,2582,6,5,27,2,0
57866,80,6,7,476,696,5,4,27,125,1
38198,1900,17,153.12,153,0,1,0,0,0,0
33069,53,17,5,130,146,2,2,0,0,1
41670,80,6,7.178,614,12815,6,12,27,1407,1
50106,443,6,91.212,2174,4648,13,13,31,790,0
58624,80,6,7,458,2163,5,5,27,247,1
58316,80,6,7,458,2163,5,5,27,271,1
49128,80,6,7,853,3760,5,6,27,109,1
33347,53,17,5,354,516,3,3,0,999,0
49430,80,6,7,490,3812,5,7,27,94,1
47878,80,6,7,585,2502,6,6,27,1636,1
56876,80,6,7,518,696,5,4,27,114,1
34422,80,6,7,831,696,5,4,27,137,1
58304,80,6,7,480,696,5,4,27,188,1
50288,7678,6,7,427,1945,6,6,27,12,0
58370,80,6,7,458,2163,5,5,27,196,1
49906,80,6,7,830,2239,5,6,27,136,1
56733,15600,17,0,63,0,1,0,0,0,0
52428,80,6,7,525,3812,6,7,27,1124,1
41434,80,6,7.178,570,12867,6,13,27,1660,1
34822,80,6,7,493,696,5,4,27,232,1
27621,53,17,5.178,74,306,1,1,0,57,0
57314,53,17,5.178,74,155,1,1,0,58,0
35583,53,17,5,130,146,2,2,0,129,1
49046,80,6,7,727,3760,5,6,27,88,1
35544,80,6,7.178,572,12867,6,13,27,1437,1
57030,80,6,7,458,2163,5,5,27,194,1
56690,80,6,7,504,696,5,4,27,192,1
18462,53,17,5,80,96,1,1,0,24,0
56840,80,6,7,456,696,5,4,27,158,1
50187,41952,6,7,795,4374,10,12,27,228,0
56774,80,6,7,458,2163,5,5,27,228,1
58292,80,6,7,474,2816,5,6,27,1473,1
48816,80,6,7,500,2286,5,6,27,955,1
41692,80,6,7,570,12815,6,12,27,1620,1
58808,80,6,7,462,696,5,4,27,169,1
58368,80,6,7,791,696,5,4,27,148,1
58276,80,6,7,459,696,5,4,27,168,1
41598,80,6,7.178,492,12815,5,12,27,1460,1
30404,53,17,5,63,947,1,1,0,23,0
49354,80,6,7,528,3812,5,7,27,41,1
47136,80,6,7,548,2239,5,6,27,14,1
47164,80,6,7,542,2239,5,6,27,18,1
37860,15600,17,0,63,0,1,0,0,0,0
46960,80,6,7,526,2239,5,6,27,13,1
56846,80,6,7,458,2163,5,5,27,160,1
62145,53,17,5,72,845,1,1,0,166,0
54073,53,17,5,100,100,2,2,0,4,1
34303,53,17,5,100,100,2,2,0,3,1
57964,80,6,7,458,2163,5,5,27,239,1
42624,80,6,7,606,12815,6,12,27,1423,1
57584,80,6,7,458,2163,5,5,27,239,1
41732,80,6,7,614,12815,6,12,27,1285,1
42965,53,17,5,136,766,2,2,0,3904,1
49752,80,6,7,104,52,2,1,17,328,1
57950,80,6,7,459,696,5,4,27,248,1
50386,9197,6,7,488,6921,5,9,27,16,0
46864,80,6,7,534,2239,5,6,27,24,1
41166,80,6,7,677,1087,5,4,27,4999,0
47830,80,6,7,527,2239,5,6,27,16,1
48804,80,6,7,552,2286,6,6,27,1003,1
58260,80,6,7,477,734,5,4,27,1804,1
47130,80,6,7,569,2239,6,6,27,4,1
49198,80,6,7,492,3760,5,6,27,92,1
58326,80,6,7,572,696,5,4,27,153,1
56402,80,6,7,459,696,5,4,27,142,1
5353,5353,17,8,3898,0,14,0,0,100044,0
27480,53,17,5.178,78,376,1,1,0,10,0
55422,15600,17,0,63,0,1,0,0,0,0
36240,80,6,7.178,620,12815,6,12,27,1192,1
41766,80,6,7,519,12815,5,12,27,1310,1
48998,80,6,7,509,3812,5,7,27,96,1
58900,80,6,7,180,132,4,3,19,162,1
50917,9197,6,7,1064,30362,9,26,27,51,0
34792,80,6,7,458,2163,5,5,27,145,1
36579,53,17,5.126,70,365,1,1,0,105,0
58070,53,17,5,94,110,1,1,0,11,0
26420,53,17,5.126,72,88,1,1,0,182,0
57768,80,6,7,458,2163,5,5,27,237,1
49913,9197,6,7,400,3770,5,7,27,17,0
47932,80,6,7,526,2816,6,6,27,1700,1
34856,80,6,7,458,2163,5,5,27,217,1
52538,80,6,7,216,3760,4,6,27,1048,1
56518,80,6,7,770,696,5,4,27,144,1
80,45334,6,7,104,104,2,2,17,7125,0
49558,80,6,7,580,2525,6,6,27,903,1
57660,80,6,7,458,2163,5,5,27,178,1
36621,15600,17,0,63,0,1,0,0,0,0
49428,80,6,7,480,3760,5,6,27,82,1
49372,80,6,7,556,3812,5,7,27,100,1
58640,80,6,7,458,2163,5,5,27,210,1
47102,80,6,7,590,2239,5,6,27,10,1
34945,51935,17,12,350,0,1,0,0,0,0
50102,41952,6,7,795,4374,10,12,27,732,0
49282,80,6,7,517,3812,5,7,27,111,1
58792,80,6,7,524,696,5,4,27,171,1
58224,80,6,7,526,2816,6,6,27,1562,1
15165,53,17,5,71,628,1,1,0,131,0
58794,80,6,7,458,2163,5,5,27,210,1
48506,80,6,7,596,2816,6,6,27,981,1
65073,53,17,5.124,61,487,1,1,0,103,0
56506,80,6,7,758,696,5,4,27,181,1
42980,53,17,5,81,123,1,1,0,1,0
47768,80,6,7,570,2239,5,6,27,19,1
46878,80,6,7,621,2239,5,6,27,15,1
46926,80,6,7,905,2239,5,6,27,18,1
34672,80,6,7,458,2163,5,5,27,126,1
46884,80,6,7,758,2239,5,6,27,14,1
49984,80,6,7,104,52,2,1,17,327,1
42538,53,17,5,130,146,2,2,0,3,1
41908,80,6,7,915,12815,6,12,27,1568,1
61418,53,17,5,77,485,1,1,0,39,0
56700,80,6,7,458,2203,5,6,27,286,1
56972,80,6,7,521,696,5,4,27,119,1
49176,80,6,7,483,3760,5,6,27,95,1
35552,53,17,5.178,78,310,1,1,0,58,0
47802,80,6,7,112,60,2,1,18,332,1
37773,56304,17,12,440,0,1,0,0,0,0
45710,80,6,7,526,2816,6,6,27,971,1
46020,80,6,7,52,0,1,0,17,0,1
47030,80,6,7,531,2239,5,6,27,20,1
49200,80,6,7,495,3812,5,7,27,102,1
57528,80,6,7,458,2163,5,5,27,218,1
47854,80,6,7,521,2239,5,6,27,11,1
47836,80,6,7,548,2239,5,6,27,10,1
47676,80,6,7,541,2239,5,6,27,27,1
49466,80,6,7,524,3760,5,6,27,50,1
58546,80,6,7,458,2163,5,5,27,226,1
56448,80,6,7,458,2163,5,5,27,297,1
